FileName,Group,Genotype,Time,ShortName
GSM792470_B1r.CEL,NI_0,NI,0,GSM792470
GSM792471_B33.CEL,NI_0,NI,0,GSM792471
GSM792472_B17r.CEL,NI_0,NI,0,GSM792472
GSM792473_B34.CEL,NI_1,NI,1,GSM792473
GSM792474_B2r.CEL,NI_1,NI,1,GSM792474
GSM792475_B18r.CEL,NI_1,NI,1,GSM792475
GSM792476_B5r.CEL,NI_3,NI,3,GSM792476
GSM792477_B35r.CEL,NI_3,NI,3,GSM792477
GSM792478_B21r.CEL,NI_3,NI,3,GSM792478
GSM792479_B36.CEL,NI_6,NI,6,GSM792479
GSM792480_B8r.CEL,NI_6,NI,6,GSM792480
GSM792481_B24r.CEL,NI_6,NI,6,GSM792481
GSM792482_B11.CEL,NI_12,NI,12,GSM792482
GSM792483_B27r.CEL,NI_12,NI,12,GSM792483
GSM792484_B37.CEL,NI_12,NI,12,GSM792484
GSM792485_B14.CEL,NI_24,NI,24,GSM792485
GSM792486_B38r.CEL,NI_24,NI,24,GSM792486
GSM792487_B30r.CEL,NI_24,NI,24,GSM792487
GSM792488_B19.CEL,P_1,P,1,GSM792488
GSM792489_B39.CEL,P_1,P,1,GSM792489
GSM792490_B3r.CEL,P_1,P,1,GSM792490
GSM792491_B22r.CEL,P_3,P,3,GSM792491
GSM792492_B40.CEL,P_3,P,3,GSM792492
GSM792493_B6r.CEL,P_3,P,3,GSM792493
GSM792494_B9.CEL,P_6,P,6,GSM792494
GSM792495_B25.CEL,P_6,P,6,GSM792495
GSM792496_B41r.CEL,P_6,P,6,GSM792496
GSM792497_B28.CEL,P_12,P,12,GSM792497
GSM792498_B42r.CEL,P_12,P,12,GSM792498
GSM792499_B12r.CEL,P_12,P,12,GSM792499
GSM792500_B43.CEL,P_24,P,24,GSM792500
GSM792501_B31r.CEL,P_24,P,24,GSM792501
GSM792502_B15r.CEL,P_24,P,24,GSM792502
GSM792503_B4.CEL,KP_1,KP,1,GSM792503
GSM792504_B44.CEL,KP_1,KP,1,GSM792504
GSM792505_B20r.CEL,KP_1,KP,1,GSM792505
GSM792506_B23.CEL,KP_3,KP,3,GSM792506
GSM792507_B7r.CEL,KP_3,KP,3,GSM792507
GSM792508_B45r.CEL,KP_3,KP,3,GSM792508
GSM792509_B10.CEL,KP_6,KP,6,GSM792509
GSM792510_B26r.CEL,KP_6,KP,6,GSM792510
GSM792511_B46r.CEL,KP_6,KP,6,GSM792511
GSM792512_B13.CEL,KP_12,KP,12,GSM792512
GSM792513_B29.CEL,KP_12,KP,12,GSM792513
GSM792514_B47.CEL,KP_12,KP,12,GSM792514
GSM792515_B32.CEL,KP_24,KP,24,GSM792515
GSM792516_Kp-24-B48.CEL,KP_24,KP,24,GSM792516
GSM792517_B16r.CEL,KP_24,KP,24,GSM792517
GSM792518_NI-T0-C1.CEL,NI_0,NI,0,GSM792518
GSM792519_ni_T0_C17.CEL,NI_0,NI,0,GSM792519
GSM792520_ni_T0_C33.CEL,NI_0,NI,0,GSM792520
GSM792521_ni_T1_C2.CEL,NI_1,NI,1,GSM792521
GSM792522_NI-T1-C18.CEL,NI_1,NI,1,GSM792522
GSM792523_ni_T1_C34.CEL,NI_1,NI,1,GSM792523
GSM792524_ni_T3_C5.CEL,NI_3,NI,3,GSM792524
GSM792525_ni_T3_C21.CEL,NI_3,NI,3,GSM792525
GSM792526_NI-T3-C37.CEL,NI_3,NI,3,GSM792526
GSM792527_ni_T6_C8.CEL,NI_6,NI,6,GSM792527
GSM792528_ni_T6_C24.CEL,NI_6,NI,6,GSM792528
